DateTime,1:*Refrigerant type,19:O/U MPU ID (xx),20:O/U MPU ID (yy),21:O/U capacity (kW),22:Operation Mode,23:Thermostat ON/OFF,24:Restart standby,25:Startup Control,26:Defrost Operation,28:Pressure equalizing operation,30:Low noise control,31:Error type,32:Error Code,33:Target Evap. Temp.(C),35:Discharge Temp. Drop,39:HP Drop Control,47:O/U EEPROM (1st digit),48:O/U EEPROM (3rd 4th digit),49:O/U EEPROM (5th 6th digit),50:O/U EEPROM (7th 8th digit),51:O/U EEPROM (10th digit),52:O/U EEPROM (11th digit),54:Outdoor air temp.(R1T)(C),56:Discharge pipe temp.(C),58:Heat exchanger mid-temp.(C),61:Pressure(kgcm2),62:Pressure(T)(C),63:INV primary current (A),64:INV secondary current (A),65:Voltage (N-phase) (V),76:Refrig. temp. evap. In(C),77:Refrig. temp. evap.Out(C),83:INV frequency (rps),87:Fan 1 (step),89:Expansion valve (pls),94:4 Way Valve 1,109:Data Enable/Disable,110:Indoor Unit Address,111:I/U operation mode,112:Thermostat ON/OFF,113:Freeze Protection,114:Silent Mode,115:Freeze Protection for water piping,116:Error Code,117:Error detailed code,118:Error type,120:DHW setpoint(C),121:LW setpoint (main)(C),123:Thermal protector (Q1L) BUH,124:Thermal protector BSH,125:Benefit kWh rate power supply,126:Solar input,129:Bivalent Operation,130:2way valve(On:Heat_Off:Cool),131:3way valve(On:DHW_Off:Space),132:BSH,133:BUH Step1,134:BUH Step2,135:BPH,136:Water pump operation,137:Solar pump operation,139:I/U Software ID (xx),140:I/U Software ID (yy),141:I/U EEPROM Ver.,142:Data Enable/Disable,143:Indoor Unit Address,144:Leaving water temp. before BUH (R1T)(C),145:Leaving water temp. after BUH (R2T)(C),146:Refrig. Temp. liquid side (R3T)(C),147:Inlet water temp.(R4T)(C),148:DHW tank temp. (R5T)(C),149:Indoor ambient temp. (R1T)(C),150:Ext. indoor ambient sensor (R6T)(C),153:Reheat ON/OFF,154:Storage eco ON/OFF,155:Storage comfort ON/OFF,156:Powerful DHW Operation. ON/OFF,157:Space heating Operation ON/OFF,158:System OFF (ON:System off),160:Emergency (indoor) active/not active,161:LW setpoint (add)(C),162:RT setpoint(C),163:Add. Ext. RT Input Cool.,164:Add. Ext. RT Input Heat.,165:Main RT Cooling,166:Main RT Heating,167:Pwr consumption limit 4,168:Pwr consumption limit 3,169:Pwr consumption limit 2,170:Pwr consumption limit 1,175:Tank preheat ON/OFF,176:Circulation pump operation,177:Alarm output,178:Space H Operation output,179:Flow sensor (l/min),180:Water pressure(kgcm2),181:Water pump signal (0:max-100:stop),182:[Future] 3 way Valve Mixing 1,183:[Future] 3 way Valve Mixing 2,193:Data Enable/Disable,194:Indoor Unit Address,195:I/U EEPROM (3rd digit),196:I/U EEPROM (4th 5th digit),197:I/U EEPROM (6th 7th digit),198:I/U EEPROM (8th 9th digit),199:I/U EEPROM (11th digit),200:I/U EEPROM (12th digit)(rev.)
2020/06/01 22:46:15,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.0,35.0,16.0,12.0,14.2,0.5,0.0,39,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.2,36.8,29.3,32.4,53.0,25.0,0.0,ON,OFF,OFF,OFF,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:46:25,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.0,35.0,16.0,12.0,14.2,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.2,36.8,29.3,32.3,53.0,25.0,0.0,ON,OFF,OFF,OFF,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:46:35,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.0,35.0,16.0,12.0,14.2,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.2,36.7,29.2,32.2,53.2,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:46:45,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.0,35.0,16.0,12.0,14.2,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.2,36.7,29.1,32.1,53.2,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:46:55,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.0,35.0,16.0,12.0,14.2,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.2,36.6,29.0,32.0,53.3,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:47:05,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.0,34.5,16.0,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.2,36.6,28.9,32.0,53.3,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:47:15,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.0,34.5,16.0,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.2,36.6,28.8,32.0,53.4,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:47:25,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.0,34.5,16.0,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.2,36.6,28.7,31.9,53.4,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:47:35,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.0,34.5,16.0,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,ON,0,37.2,36.5,28.7,31.9,53.4,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:47:45,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,34.5,16.0,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.2,36.5,28.6,31.8,53.4,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:47:55,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,34.5,16.0,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.1,36.4,28.5,31.6,53.4,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:48:05,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,34.5,16.0,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.1,36.4,28.5,31.6,53.3,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:48:15,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,34.0,16.0,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.2,36.4,28.5,31.5,53.4,25.0,0.0,ON,OFF,OFF,OFF,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:48:25,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,34.0,16.0,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.1,36.4,28.4,31.4,53.4,25.0,0.0,ON,OFF,OFF,OFF,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:48:35,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,34.0,16.0,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.1,36.3,28.4,31.4,53.5,25.0,0.0,ON,OFF,OFF,OFF,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:48:45,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,34.0,15.5,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.1,36.3,28.4,31.4,53.5,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:48:55,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,34.0,15.5,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.1,36.3,28.3,31.3,53.7,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:49:05,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,34.0,15.5,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.1,36.2,28.3,31.2,53.7,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:49:15,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,34.0,15.5,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,DHW:Domestic Hot Water,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,76,F2,0,ON,0,37.1,36.2,28.3,31.1,53.8,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,100,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:49:25,R410A,4,57,6,Fan Only,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,33.5,15.5,11.7,13.4,0.5,0.0,38,0.0,0.0,0,OFF,450,OFF,OFF,0,Heating,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,76,F2,0,ON,0,37.1,36.1,28.1,31.1,53.8,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,-0.3,0.0,94,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:49:35,R410A,4,57,6,Heating,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,33.5,15.5,11.7,13.4,0.5,0.0,248,0.0,0.0,0,OFF,450,OFF,OFF,0,Heating,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,76,F2,0,ON,0,37.1,36.1,28.1,31.1,53.8,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,11.8,0.0,24,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:49:45,R410A,4,57,6,Heating,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,33.5,15.5,11.7,13.4,0.5,0.0,248,0.0,0.0,0,OFF,450,ON,OFF,0,Heating,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,76,F2,0,ON,0,36.2,36.1,28.1,32.1,53.9,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,11.7,0.0,24,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:49:55,R410A,4,57,6,Heating,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,33.5,15.5,11.7,13.4,0.5,0.0,248,0.0,0.0,0,OFF,450,ON,OFF,0,Heating,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,76,F2,0,ON,0,35.2,34.2,28.0,32.5,53.9,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,12.2,0.0,24,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:50:05,R410A,4,57,6,Heating,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,33.5,15.5,11.7,13.4,0.5,0.0,248,0.0,0.0,0,OFF,450,ON,OFF,0,Heating,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,76,F2,0,ON,0,34.5,33.3,28.0,32.6,53.9,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,11.8,0.0,24,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:50:15,R410A,4,57,6,Heating,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,33.5,15.5,11.7,13.4,0.5,0.0,248,0.0,0.0,0,OFF,450,ON,OFF,0,Heating,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,76,F2,0,ON,0,33.9,32.8,28.0,32.8,53.8,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,11.7,0.0,24,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:50:25,R410A,4,57,6,Heating,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,33.0,15.5,11.7,13.4,0.5,0.0,248,0.0,0.0,0,OFF,450,ON,OFF,0,Heating,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,76,F2,0,ON,0,33.6,32.7,27.9,33.0,53.7,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,11.9,0.0,24,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:50:35,R410A,4,57,6,Heating,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,33.0,15.5,11.7,13.4,0.5,0.0,248,0.0,0.0,0,OFF,450,ON,OFF,0,Heating,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,76,F2,0,ON,0,33.4,32.9,27.9,30.4,53.7,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,11.7,0.0,24,0,0,ON,0,01,70,64,32,15,A
2020/06/01 22:50:45,R410A,4,57,6,Heating,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,33.0,15.5,11.5,12.9,0.5,0.0,248,0.0,0.0,0,OFF,450,ON,OFF,0,Heating,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,76,F2,0,ON,0,32.2,32.2,27.9,27.7,53.7,25.0,0.0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,ON,0,01,70,64,32,15,A
2020/06/01 22:50:55,R410A,4,57,6,Heating,OFF,OFF,OFF,OFF,OFF,OFF,Normal, 0,32.6,OFF,OFF,02,31,95,01,02,E,16.5,33.0,15.5,11.5,12.9,0.5,0.0,248,0.0,0.0,0,OFF,450,ON,OFF,0,Heating,OFF,OFF,OFF,OFF, 0,0,Normal,55.0,25.0,ON,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,76,F2,0,ON,0,30.7,29.4,27.9,26.2,53.7,25.0,0.0,ON,OFF,OFF,ON,OFF,OFF,OFF,35.0,21.0,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,11.8,0.0,24,0,0,ON,0,01,70,64,32,15,A
